maker,name,price
富士通 FUJITSU,FMVF60G3WC [デスクトップパソコン FMV/FHシリーズ/23.8型Full HD/Core i5-1135G7/メモリ 16GB/SSD 256GB ＋ HDD 1TB/Sマルチ/Windows 11 Home 64ビット/Office Home and Business 2021/ホワイト/ヨドバシカメラ限定モデル],"￥199,800"
ミニスフォーラム MINISFORUM,UM580B-32/512-W11Pro（5800H） [小型デスクトップパソコン/Ryzen7 5800H/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥83,680"
富士通 FUJITSU,FMVF77G3B [デスクトップパソコン FMV/FHシリーズ/23.8型Full HD/Core i7-1165G7/メモリ 16GB/SSD 256GB ＋ HDD 1TB/BDXL/TVチューナー/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック],"￥209,800"
富士通 FUJITSU,FMVF60G3W [デスクトップパソコン FMV/FHシリーズ/23.8型Full HD/Core i5-1135G7/メモリ 8GB/SSD 512GB/Sマルチ/Windows 11 Home 64ビット/Office Home and Business 2021/ホワイト],"￥161,420"
レノボ･ジャパン Lenovo,90SM0064JP [デスクトップPC/IdeaCentre 370i/ Core i5/HDD 1TB+SSD 256GB/メモリ 8GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/グレー],"￥128,480"
デル DELL,SI70-DNHB [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i7-13700/UHD グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥191,800"
NEC エヌイーシー,PC-A2797GAB [デスクトップパソコン LAVIE/27.0型Full HD/AMD Ryzen7 7730U/メモリ 16GB/SSD 1TB/BDXL/TVチューナー/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック],"￥269,280"
富士通 FUJITSU,FMVF90H2B [デスクトップパソコン FMV/FHシリーズ/27型WQHD/Core i7-1260P/メモリ 16GB /SSD 512GB ＋ HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥259,800"
HP,52P36PA-AAAZ [デスクトップパソコン/HP Pavilion Desktop TP01-2000 G1モデル/Ryzen 5 5600G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ナチュラルシルバー],"￥129,800"
レノボ･ジャパン Lenovo,90SM0065JP [デスクトップPC/IdeaCentre 370i/ Core i5/HDD 1TB+SSD 256GB/メモリ 8GB/Windows 11 Home/グレー],"￥106,480"
デル DELL,SI60-DNHB [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i5-13400/UHD グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥156,800"
レノボ･ジャパン Lenovo,F0GH00CSJP [一体型デスクトップパソコン IdeaCentre AIO 370i/23.8型/Core i7/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥166,100"
エイスース ASUS,G10CE-I5R2060SBY [ゲーミングデスクトップパソコン/ROG Strix G10CE/Core i5-11400F/GeForce RTX 2060 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/グレー],"￥114,800"
NEC エヌイーシー,PC-A2377GAB [デスクトップパソコン LAVIE/23.8型Full HD/AMD Ryzen7 7730U/メモリ 16GB/SSD 1TB/BDXL/TVチューナー/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック],"￥239,340"
HP,6K5C3PA-AAAC [デスクトップパソコン HP 24-ck0000 AiO G1モデル/23.8型/Core i5-1235U/メモリ 8GB/SSD 256GB＋HDD 2TB/ Windows 11 Home/Office Home ＆ Business 2021/スターリーホワイト],"￥169,800"
ミニスフォーラム MINISFORUM,UN100-16/256-W11Pro（N100） [ミニパソコン/Intel N100/メモリ 16GB/SSD 256GB/Windows 11 Pro],"￥45,580"
デル DELL,AI779T-DNHBWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥245,800"
ミニスフォーラム MINISFORUM,UM330-8/256-W10Pro（3300U） [小型デスクトップパソコン/Ryzen3 3300U/メモリ 8GB/SSD 256GB/Windows 10 Pro],"￥47,750"
NEC エヌイーシー,PC-A2365GAB [デスクトップパソコン LAVIE/23.8型Full HD/AMD Ryzen7 7730U/メモリ 16GB/SSD 512GB/DVD/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック],"￥208,760"
HP,52M18PA-AABV [デスクトップパソコン/HP Pavilion Desktop TP01-2000 G1モデル/Ryzen 7 5700G/メモリ 16GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ナチュラルシルバー],"￥154,800"
NEC エヌイーシー,PC-A2355GAB-YC [デスクトップパソコン LAVIE/23.8型Full HD/AMD Ryzen5 7530U/メモリ 16GB/SSD 512GB/DVD/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック/ヨドバシカメラ限定モデル],"￥214,280"
デル DELL,SI50-DNHB [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i5-13400/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥143,800"
デル DELL,AI779T-DNLWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/パールホワイト],"￥223,800"
HP,52M18PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 7 5700G/メモリ 16GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥129,800"
